name,cuisine,price_range,rating,location,description
Sharma's Dhaba,North Indian,Low,4.4,Bengaluru,Cheap and filling thalis loved by students
Empire Restaurant,Multi-cuisine,Medium,4.3,Bengaluru,Perfect for late-night non-veg cravings
Truffles Cafe,American,Medium,4.5,Bengaluru,Cheesy burgers and comfort food
Meghana Foods,Andhra,Medium,4.6,Bengaluru,Spicy biryanis and Andhra meals
Vidyarthi Bhavan,South Indian,Low,4.7,Bengaluru,Legendary dosas and filter coffee
Burger Seigneur,Fast Food,Medium,4.2,Bengaluru,Loaded burgers with premium taste
Chai Point,Cafe,Low,4.1,Bengaluru,Affordable tea and snacks
Corner House,Desserts,Low,4.8,Bengaluru,Famous ice creams for sweet cravings
Onesta,Italian,Medium,4.4,Bengaluru,Unlimited pizza and pasta
Beijing Bites,Chinese,Low,4.0,Bengaluru,Indo-Chinese comfort food
Rameshwaram Cafe,South Indian,Low,4.5,Bengaluru,Ghee-rich dosas and quick meals
Punjab Grill,North Indian,High,4.3,Bengaluru,Premium North Indian dining
McDonald's,Fast Food,Low,4.0,Bengaluru,Quick burgers on budget
KFC,Fast Food,Medium,4.1,Bengaluru,Fried chicken cravings
Pizza Hut,Italian,Medium,4.0,Bengaluru,Classic pizzas and sides
Social,Bistro,High,4.4,Bengaluru,Chill vibe with comfort food
